Date,Spot,Injured,Death,How,Fault,Weight,Vehicle,Environment
01.05.18,"Hatirjheel, Dhaka",0,2,Motorcycle skidded off the road after hitting the railings.,10000,0.5,Motorbike,
28.06.17,"Kalapani,Guimara, Khagrachari",10,3,After skidded off the road the bus hit the tree.,10000,0.5,Bus,
23.02.18,Mymensingh road ,25,4,bus felt into Roadside ditch   ,10001,0.17,Bus,
07.02.18,Sunamganj pagla bazar ,0,4,bus and private car collision  ,10000,0.5,Bus and Private car,
18.12.18,Gazipur sarak ,2,1,bus thrush rickshaw  ,10010,0.33,Bus and Rickshaw,
11.12.17,"Daudkandi, Comilla",6,4,Bus hit a tree beside Dhaka-Chittagong highway ,10010,0.33,Bus,
04.01.19,Asulia,3,2,loaded truck get over a Rickshaw ,01001 ,0.25,Truck and Rickshaw,Driver
20.12.18,"Comilla, chandina",6,3,microbus lose control ,1000,0.06,Micribus,
06.01.19,sarkira bangaler mor,2,1,truck get over on the passer by,1001,0.25,Truck,
19.12.18,Chittagong KEPZ road ,40,3,driver loses control on steering  ,1001,0.25,Truck,
27.02.18,"Kashiani, Gopalgonj",14,4,A Dhaka bound bus collided head-on with a truck,1001,0.25,Bus & Truk,
04.01.19,Tangail ,0,1,Bus get over a motorcycle,1011,0.18,Bus and motocycle,
03.01.19,"Bogura,serpur",0,1,Bus thrust a trolley  ,1011,0.18,Bus and Trolley,
26.12.18,"Nilfamari,demar,sarok",0,2,bus thrust ,1011,0.18,Bus,
27.01.18,"Patiya, Chittagong",0,2,,1100,0.06,Bus & Motorcycle,
07.01.19,Netrokona sadar Upazila lokkigong ,0,2,Bus and cng Face to face clash,1101,0.43,Bus and Cng,
04.01.19,Patuakhali dosmina sarok ,0,1,bus and trucktor accident ,1101,0.43,Bus and Truck,
16.02.18,Cox'sBazar marine drive    ,0,1,noah van hit an easy-bike  ,1101,0.43,Van and bike,
20.05.18,"Malihata,Brahmanbaria",0,3,A speeding car hit the autorickshaw face to face,1101,0.43,Car & Auto rickshaw,
26.09.17,"Bhobokdia, Nagarkandha, Faridpur",15,3,Bus skidded off the road  and run over the pedestrains after driver lost control over steering.,1101,0.43,Bus,
02.01.19,Hobigong,1,1,motorcycle and truck collision  ,1101,0.43,Motorcycle and Truck,
03.03.18,"Chokoria,Coxs Bazar",9,4,A microbus collided with another oncoming microbus,1101,0.43,2 Microbuses,
19.12.18,hobigonz,5,1,pickup accident  ,11000,0.75,Pickup,Vehicle
14.09.18,Dinajpur-rangpur Highway  ,11,2,bus collided  with another bus ,11000,0.75, two Bus,
 ,Rangpur Central Bus terminal,11,2,,11000,0.75,2 Buses,
31.01.18,"Bedgram, Gopalganj",25,3,The bus plunged into roadside ditch after the driver lost his control over the steering.,11001,0.25,Bus,
